발생년도,시도,시군구,전체발생량,총계_재활용,총계_소각,총계_매립,총계_기타
2014,제주,서귀포시,277.2,165.3,46.9,65.0,0.0
2015,서울,종로구,284.3,181.0,72.5,30.8,0.0
2015,서울,중구,434.3,283.2,130.7,20.4,0.0
2015,서울,용산구,240.1,158.8,72.1,9.2,0.0
2015,서울,성동구,235.7,157.7,54.3,23.7,0.0
2015,서울,광진구,300.2,216.4,56.2,27.6,0.0
2015,서울,동대문구,381.7,270.8,89.8,21.1,0.0
2015,서울,중랑구,363.0,260.6,87.9,14.5,0.0
2015,서울,성북구,339.0,230.5,90.6,17.9,0.0
2015,서울,강북구,228.3,150.8,66.0,11.5,0.0
2015,서울,도봉구,289.2,223.3,57.4,8.5,0.0
2015,서울,노원구,453.9,343.8,103.1,7.0,0.0
2015,서울,은평구,219.7,152.7,40.8,26.2,0.0
2015,서울,서대문구,282.9,190.9,81.6,10.4,0.0
2015,서울,마포구,452.0,325.7,114.0,12.3,0.0
2015,서울,양천구,297.4,206.7,77.7,13.0,0.0
2015,서울,강서구,365.0,243.6,102.1,19.3,0.0
2015,서울,구로구,290.1,157.8,109.2,23.1,0.0
2015,서울,금천구,232.9,165.0,0.0,67.9,0.0
2015,서울,영등포구,339.5,216.2,99.3,24.0,0.0
2015,서울,동작구,278.7,198.4,61.8,18.5,0.0
2015,서울,관악구,320.9,195.4,29.4,96.1,0.0
2015,서울,서초구,486.2,351.3,90.5,44.4,0.0
2015,서울,강남구,657.2,438.8,176.0,42.4,0.0
2015,서울,송파구,521.1,379.2,85.2,56.7,0.0
2015,서울,강동구,364.1,267.1,60.2,36.8,0.0
2015,부산,중구,77.1,28.9,42.0,6.2,0.0
2015,부산,서구,103.7,74.4,26.3,3.0,0.0
2015,부산,동구,95.1,66.9,23.5,4.7,0.0
2015,부산,영도구,120.7,91.9,25.4,3.4,0.0
2015,부산,부산진구,275.6,259.9,2.1,13.6,0.0
2015,부산,동래구,228.8,201.8,0.1,26.9,0.0
2015,부산,남구,234.7,205.4,4.0,25.3,0.0
2015,부산,북구,236.9,205.9,4.9,26.1,0.0
2015,부산,해운대구,320.7,238.1,75.2,7.4,0.0
2015,부산,사하구,312.8,205.3,101.4,6.1,0.0
2015,부산,금정구,205.3,183.0,0.1,22.2,0.0
2015,부산,강서구,59.5,37.5,17.5,4.5,0.0
2015,부산,연제구,163.3,144.9,0.4,18.0,0.0
2015,부산,수영구,145.6,131.2,0.0,14.4,0.0
2015,부산,사상구,202.0,175.7,9.8,16.5,0.0
2015,부산,기장군,94.0,46.2,44.4,3.4,0.0
2015,대구,중구,138.0,74.3,8.3,55.4,0.0
2015,대구,동구,301.6,140.3,65.6,95.7,0.0
2015,대구,서구,221.3,124.0,28.4,68.9,0.0
2015,대구,남구,175.7,83.7,41.0,51.0,0.0
2015,대구,북구,399.2,222.8,44.3,132.1,0.0
2015,대구,수성구,369.0,211.5,46.2,111.3,0.0
2015,대구,달서구,522.7,312.6,89.6,120.5,0.0
2015,대구,달성군,170.4,92.6,23.1,54.7,0.0
2015,인천,중구,98.3,37.7,41.7,18.9,0.0
2015,인천,동구,45.5,25.4,11.2,8.9,0.0
2015,인천,미추홀구,228.4,119.3,92.4,16.7,0.0
2015,인천,연수구,123.6,69.2,48.9,5.5,0.0
2015,인천,남동구,290.3,169.2,103.1,18.0,0.0
2015,인천,부평구,277.4,130.9,108.3,38.2,0.0
2015,인천,계양구,178.1,100.5,59.0,18.6,0.0
2015,인천,서구,176.1,65.4,71.7,39.0,0.0
2015,인천,강화군,30.6,14.7,0.7,15.2,0.0
2015,인천,옹진군,15.5,8.7,6.2,0.6,0.0
2015,인천,청라경제청,138.7,62.3,76.4,0.0,0.0
2015,광주,동구,112.5,63.4,5.2,43.9,0.0
2015,광주,서구,240.3,141.2,78.1,21.0,0.0
2015,광주,남구,180.5,120.1,6.0,54.4,0.0
2015,광주,북구,299.1,175.1,84.2,39.8,0.0
2015,광주,광산구,294.1,205.0,64.5,24.6,0.0
2015,대전,동구,214.9,117.3,40.0,57.6,0.0
